Sample	Oligotypes	Size	Host
101	2	68	"A. kojimai"
103	2	62	"A. kojimai"
105	3	60	"A. kojimai"
108	1	74	"A. kojimai"
11	1	61.1	"A. kojimai"
111	2	68	"A. kojimai"
113	2	39	"A. strummeri"
115	3	72	"A. kojimai"
117	2	20	"A. kojimai"
119	3	74	"A. kojimai"
138	2	66	"I. nautilei"
142	3	62	"I. nautilei"
143	2	62	"I. nautilei"
144	3	59	"I. nautilei"
145	2	66	"I. nautilei"
146	1	52	"I. nautilei"
17	2	52.6	"A. boucheti"
177	1	46	"A. kojimai"
204	1	26	"A. strummeri"
206	2	34	"A. strummeri"
25	1	61.24	"A. kojimai"
3	1	55.8	"A. boucheti"
33	1	58.63	"A. kojimai"
35	2	44.29	"A. boucheti"
37	1	46.35	"A. boucheti"
41	1	61.61	"A. kojimai"
425	3	74	"I. nautilei"
427	3	90	"I. nautilei"
429	1	76	"I. nautilei"
43	1	53.6	"A. kojimai"
431	3	79	"I. nautilei"
45	1	40.02	"A. kojimai"
47	1	50.22	"A. kojimai"
49	2	45.87	"A. kojimai"
505	2	56	"I. nautilei"
507	2	48	"I. nautilei"
509	2	46	"I. nautilei"
51	2	54.02	"A. kojimai"
53	2	56.61	"A. kojimai"
55	2	59.18	"A. kojimai"
57	2	53.52	"A. kojimai"
572	3	68	"I. nautilei"
574	3	66	"I. nautilei"
586	4	73	"I. nautilei"
588	4	62	"I. nautilei"
59	2	60.52	"A. kojimai"
590	1	57	"I. nautilei"
592	4	64	"I. nautilei"
604	1	49	"I. nautilei"
61	2	41.14	"A. strummeri"
63	1	43.96	"A. kojimai"
65	2	39.89	"A. kojimai"
67	2	43.95	"A. kojimai"
69	2	72	"A. kojimai"
73	1	45	"A. kojimai"
75	1	39	"A. kojimai"
77	1	38	"A. kojimai"
79	2	38	"A. kojimai"
81	2	66	"A. kojimai"
83	2	64	"A. kojimai"
85	1	52	"A. kojimai"
87	2	56	"A. kojimai"
91	1	42	"A. kojimai"
93	1	56	"A. kojimai"
95	2	66	"A. kojimai"
97	1	48	"A. kojimai"
99	1	46	"A. kojimai"
Al0002	2	45.1	"A. strummeri"
Al0003	2	68.6	"A. kojimai"
Al0004	2	60.5	"A. kojimai"
Al0005	2	68.4	"A. kojimai"
Al0006	1	63.5	"A. kojimai"
Al0008	1	70.3	"A. kojimai"
Al0009	1	42.9	"A. strummeri"
Al0010	2	52.8	"A. kojimai"
Al0011	1	42.9	"A. kojimai"
Al0013	1	37.6	"A. kojimai"
Al0014	1	54.6	"A. kojimai"
Al0015	1	44.9	"A. kojimai"
Al0016	1	38.1	"A. kojimai"
Al0017	1	45.5	"A. kojimai"
Al0019	1	50.9	"A. kojimai"
Al0020	1	50.5	"A. kojimai"
Al0021	1	56.4	"A. kojimai"
Al0022	1	55.9	"A. kojimai"
Al0023	1	62.3	"A. kojimai"
Al0024	2	68.5	"A. kojimai"
Al0026	1	66.2	"A. kojimai"
Al0037	1	51.4	"A. kojimai"
Al0038	1	54.8	"A. kojimai"
Al0039	1	29.3	"A. kojimai"
Al0042	1	48.4	"A. kojimai"
Al0043	1	48.3	"A. kojimai"
Al0044	1	38.4	"A. kojimai"
Al0045	1	37.3	"A. kojimai"
Al0047	1	48.1	"A. kojimai"
Al0048	1	42.4	"A. kojimai"
Al0049	1	37.3	"A. kojimai"
Al0050	1	37.5	"A. boucheti"
Al0051	1	35.3	"A. kojimai"
Al0052	1	31.8	"A. kojimai"
Al0054	2	42.5	"A. kojimai"
Al0056	1	35.6	"A. kojimai"
Al0057	1	38.4	"A. kojimai"
Al0059	1	40.5	"A. kojimai"
